Product Category,Payment Method,Device Type,Subscription Status,Location,Return Customer
Beauty,Cash on Delivery,Tablet,Premium,Barisal,0.8333333333333334
Beauty,Cash on Delivery,Tablet,Premium,Chittagong,0.5
Beauty,Cash on Delivery,Tablet,Premium,Dhaka,0.4
Beauty,Cash on Delivery,Tablet,Premium,Khulna,0.4
Beauty,Cash on Delivery,Tablet,Premium,Mymensingh,0.6666666666666666
Beauty,Cash on Delivery,Tablet,Premium,Rajshahi,0.2
Beauty,Cash on Delivery,Tablet,Premium,Rangpur,0.0
Beauty,Cash on Delivery,Tablet,Premium,Sylhet,0.5
Beauty,Cash on Delivery,Tablet,Trial,Barisal,0.25
Beauty,Cash on Delivery,Tablet,Trial,Chittagong,1.0
Beauty,Cash on Delivery,Tablet,Trial,Dhaka,0.5
Beauty,Cash on Delivery,Tablet,Trial,Khulna,0.3333333333333333
Beauty,Cash on Delivery,Tablet,Trial,Mymensingh,0.3333333333333333
Beauty,Cash on Delivery,Tablet,Trial,Rajshahi,0.4
Beauty,Cash on Delivery,Tablet,Trial,Rangpur,0.3333333333333333
Beauty,Cash on Delivery,Tablet,Trial,Sylhet,0.3333333333333333
Beauty,Credit Card,Desktop,Free,Barisal,0.75
Beauty,Credit Card,Desktop,Free,Chittagong,0.2
Beauty,Credit Card,Desktop,Free,Dhaka,0.5
Beauty,Credit Card,Desktop,Free,Khulna,0.0
Beauty,Credit Card,Desktop,Free,Mymensingh,1.0
Beauty,Credit Card,Desktop,Free,Rajshahi,0.5
Beauty,Credit Card,Desktop,Free,Rangpur,0.3333333333333333
Beauty,Credit Card,Desktop,Free,Sylhet,0.25
Beauty,Credit Card,Desktop,Premium,Barisal,0.3333333333333333
Beauty,Credit Card,Desktop,Premium,Chittagong,0.2
Beauty,Credit Card,Desktop,Premium,Dhaka,0.6666666666666666
Beauty,Credit Card,Desktop,Premium,Khulna,0.5
Beauty,Credit Card,Desktop,Premium,Mymensingh,0.25
Beauty,Credit Card,Desktop,Premium,Rajshahi,0.6666666666666666
Beauty,Credit Card,Desktop,Premium,Rangpur,0.5
Beauty,Credit Card,Desktop,Premium,Sylhet,0.0
Beauty,Credit Card,Desktop,Trial,Barisal,1.0
Beauty,Credit Card,Desktop,Trial,Chittagong,0.8
Beauty,Credit Card,Desktop,Trial,Dhaka,0.0
Beauty,Credit Card,Desktop,Trial,Khulna,0.25
Beauty,Credit Card,Desktop,Trial,Mymensingh,0.5
Beauty,Credit Card,Desktop,Trial,Rajshahi,1.0
Beauty,Credit Card,Desktop,Trial,Rangpur,0.5714285714285714
Beauty,Credit Card,Mobile,Free,Barisal,0.4444444444444444
Beauty,Credit Card,Mobile,Free,Chittagong,0.4
Beauty,Credit Card,Mobile,Free,Dhaka,0.3333333333333333
Beauty,Credit Card,Mobile,Free,Khulna,0.0
Beauty,Credit Card,Mobile,Free,Mymensingh,0.75
Beauty,Credit Card,Mobile,Free,Rajshahi,0.5
Beauty,Credit Card,Mobile,Free,Rangpur,1.0
Beauty,Credit Card,Mobile,Free,Sylhet,0.4
Beauty,Credit Card,Mobile,Premium,Barisal,0.3333333333333333
Beauty,Credit Card,Mobile,Premium,Chittagong,0.75
Beauty,Credit Card,Mobile,Premium,Dhaka,1.0
Beauty,Credit Card,Mobile,Premium,Khulna,0.6666666666666666
Beauty,Credit Card,Mobile,Premium,Mymensingh,0.6666666666666666
Beauty,Credit Card,Mobile,Premium,Rajshahi,0.5
Beauty,Credit Card,Mobile,Premium,Rangpur,1.0
Beauty,Credit Card,Mobile,Premium,Sylhet,1.0
Beauty,Credit Card,Mobile,Trial,Barisal,0.8333333333333334
Beauty,Credit Card,Mobile,Trial,Chittagong,0.8
Beauty,Credit Card,Mobile,Trial,Dhaka,0.3333333333333333
Beauty,Credit Card,Mobile,Trial,Khulna,1.0
Beauty,Credit Card,Mobile,Trial,Mymensingh,0.25
Beauty,Credit Card,Mobile,Trial,Rajshahi,0.6
Beauty,Credit Card,Mobile,Trial,Rangpur,0.6
Beauty,Credit Card,Mobile,Trial,Sylhet,0.6666666666666666
Beauty,Credit Card,Tablet,Free,Barisal,0.0
Beauty,Credit Card,Tablet,Free,Dhaka,0.4
Beauty,Credit Card,Tablet,Free,Khulna,1.0
Beauty,Credit Card,Tablet,Free,Mymensingh,0.4
Beauty,Credit Card,Tablet,Free,Rajshahi,0.5
Beauty,Credit Card,Tablet,Free,Rangpur,0.0
Beauty,Credit Card,Tablet,Free,Sylhet,0.6666666666666666
Beauty,Credit Card,Tablet,Premium,Barisal,0.5
Beauty,Credit Card,Tablet,Premium,Chittagong,0.0
Beauty,Credit Card,Tablet,Premium,Dhaka,0.5
Beauty,Credit Card,Tablet,Premium,Khulna,0.3333333333333333
Beauty,Credit Card,Tablet,Premium,Mymensingh,0.5
Beauty,Credit Card,Tablet,Premium,Rajshahi,0.75
Beauty,Credit Card,Tablet,Premium,Rangpur,1.0
Beauty,Credit Card,Tablet,Premium,Sylhet,0.25
Beauty,Credit Card,Tablet,Trial,Barisal,0.0
Beauty,Credit Card,Tablet,Trial,Chittagong,0.5
Beauty,Credit Card,Tablet,Trial,Dhaka,0.25
Beauty,Credit Card,Tablet,Trial,Khulna,0.6
Beauty,Credit Card,Tablet,Trial,Mymensingh,0.5
Beauty,Credit Card,Tablet,Trial,Rajshahi,0.8
Beauty,Credit Card,Tablet,Trial,Rangpur,0.5
Beauty,Credit Card,Tablet,Trial,Sylhet,0.5
Beauty,Debit Card,Desktop,Free,Barisal,1.0
Beauty,Debit Card,Desktop,Free,Chittagong,0.75
Beauty,Debit Card,Desktop,Free,Dhaka,0.3333333333333333
Beauty,Debit Card,Desktop,Free,Khulna,0.25
Beauty,Debit Card,Desktop,Free,Mymensingh,0.5
Beauty,Debit Card,Desktop,Free,Rajshahi,1.0
Beauty,Debit Card,Desktop,Free,Rangpur,0.5
Beauty,Debit Card,Desktop,Free,Sylhet,0.6666666666666666
Beauty,Debit Card,Desktop,Premium,Chittagong,0.5
Beauty,Debit Card,Desktop,Premium,Dhaka,0.5
Beauty,Debit Card,Desktop,Premium,Khulna,0.0
Beauty,Debit Card,Desktop,Premium,Mymensingh,0.75
Beauty,Debit Card,Desktop,Premium,Rajshahi,0.0
Beauty,Debit Card,Desktop,Premium,Rangpur,0.75
Beauty,Debit Card,Desktop,Premium,Sylhet,0.42857142857142855
Beauty,Debit Card,Desktop,Trial,Barisal,0.3333333333333333
Beauty,Debit Card,Desktop,Trial,Chittagong,1.0
Beauty,Debit Card,Desktop,Trial,Dhaka,0.5
Beauty,Debit Card,Desktop,Trial,Khulna,0.8333333333333334
Beauty,Debit Card,Desktop,Trial,Mymensingh,0.8
Beauty,Debit Card,Desktop,Trial,Rajshahi,0.5
Beauty,Debit Card,Desktop,Trial,Rangpur,0.0
Beauty,Debit Card,Desktop,Trial,Sylhet,1.0
Beauty,Debit Card,Mobile,Free,Barisal,0.5
Beauty,Debit Card,Mobile,Free,Chittagong,0.5
Beauty,Debit Card,Mobile,Free,Khulna,0.3333333333333333
Beauty,Debit Card,Mobile,Free,Mymensingh,0.3333333333333333
Beauty,Debit Card,Mobile,Free,Rajshahi,0.0
Beauty,Debit Card,Mobile,Free,Rangpur,0.5
Beauty,Debit Card,Mobile,Free,Sylhet,0.5
Beauty,Debit Card,Mobile,Premium,Barisal,0.5
Beauty,Debit Card,Mobile,Premium,Chittagong,0.3333333333333333
Beauty,Debit Card,Mobile,Premium,Dhaka,0.8333333333333334
Beauty,Debit Card,Mobile,Premium,Khulna,0.6
Beauty,Debit Card,Mobile,Premium,Mymensingh,1.0
Beauty,Debit Card,Mobile,Premium,Rajshahi,0.6666666666666666
Beauty,Debit Card,Mobile,Premium,Rangpur,1.0
Beauty,Debit Card,Mobile,Premium,Sylhet,0.25
Beauty,Debit Card,Mobile,Trial,Barisal,0.25
Beauty,Debit Card,Mobile,Trial,Chittagong,0.5
Beauty,Debit Card,Mobile,Trial,Dhaka,0.0
Beauty,Debit Card,Mobile,Trial,Khulna,0.5
Beauty,Debit Card,Mobile,Trial,Mymensingh,1.0
Beauty,Debit Card,Mobile,Trial,Rajshahi,0.4
Beauty,Debit Card,Mobile,Trial,Rangpur,0.75
Beauty,Debit Card,Mobile,Trial,Sylhet,0.0
Beauty,Debit Card,Tablet,Free,Barisal,0.6666666666666666
Beauty,Debit Card,Tablet,Free,Chittagong,0.25
Beauty,Debit Card,Tablet,Free,Dhaka,0.6
Beauty,Debit Card,Tablet,Free,Khulna,0.25
Beauty,Debit Card,Tablet,Free,Mymensingh,0.5
Beauty,Debit Card,Tablet,Free,Rajshahi,0.3333333333333333
Beauty,Debit Card,Tablet,Free,Rangpur,0.16666666666666666
Beauty,Debit Card,Tablet,Free,Sylhet,0.5
Beauty,Debit Card,Tablet,Premium,Barisal,0.0
Beauty,Debit Card,Tablet,Premium,Chittagong,0.5
Beauty,Debit Card,Tablet,Premium,Dhaka,1.0
Beauty,Debit Card,Tablet,Premium,Khulna,0.5
Beauty,Debit Card,Tablet,Premium,Mymensingh,0.5
Beauty,Debit Card,Tablet,Premium,Rajshahi,0.2
Beauty,Debit Card,Tablet,Premium,Rangpur,0.75
Beauty,Debit Card,Tablet,Premium,Sylhet,0.3333333333333333
Beauty,Debit Card,Tablet,Trial,Barisal,0.3333333333333333
Beauty,Debit Card,Tablet,Trial,Chittagong,1.0
Beauty,Debit Card,Tablet,Trial,Dhaka,0.5
Beauty,Debit Card,Tablet,Trial,Khulna,0.75
Beauty,Debit Card,Tablet,Trial,Mymensingh,0.0
Beauty,Debit Card,Tablet,Trial,Rajshahi,1.0
Beauty,Debit Card,Tablet,Trial,Rangpur,1.0
Beauty,PayPal,Desktop,Free,Barisal,0.0
Beauty,PayPal,Desktop,Free,Chittagong,0.3333333333333333
Beauty,PayPal,Desktop,Free,Dhaka,0.6666666666666666
Beauty,PayPal,Desktop,Free,Khulna,0.75
Beauty,PayPal,Desktop,Free,Mymensingh,0.3333333333333333
Beauty,PayPal,Desktop,Free,Rajshahi,0.8333333333333334
Beauty,PayPal,Desktop,Free,Rangpur,1.0
Beauty,PayPal,Desktop,Free,Sylhet,0.6
Beauty,PayPal,Desktop,Premium,Barisal,0.6
Beauty,PayPal,Desktop,Premium,Chittagong,0.0
Beauty,PayPal,Desktop,Premium,Dhaka,0.3333333333333333
Beauty,PayPal,Desktop,Premium,Khulna,1.0
Beauty,PayPal,Desktop,Premium,Mymensingh,0.3333333333333333
Beauty,PayPal,Desktop,Premium,Rajshahi,0.75
Beauty,PayPal,Desktop,Premium,Rangpur,0.0
Beauty,PayPal,Desktop,Premium,Sylhet,0.6666666666666666
Beauty,PayPal,Desktop,Trial,Barisal,0.2857142857142857
Beauty,PayPal,Desktop,Trial,Chittagong,0.6666666666666666
Beauty,PayPal,Desktop,Trial,Dhaka,0.25
Beauty,PayPal,Desktop,Trial,Khulna,0.0
Beauty,PayPal,Desktop,Trial,Mymensingh,0.6666666666666666
Beauty,PayPal,Desktop,Trial,Rajshahi,0.0
Beauty,PayPal,Desktop,Trial,Rangpur,0.5
Beauty,PayPal,Desktop,Trial,Sylhet,0.6666666666666666
Beauty,PayPal,Mobile,Free,Barisal,0.25
Beauty,PayPal,Mobile,Free,Chittagong,0.25
Beauty,PayPal,Mobile,Free,Dhaka,0.5
Beauty,PayPal,Mobile,Free,Khulna,0.0
Beauty,PayPal,Mobile,Free,Mymensingh,1.0
Beauty,PayPal,Mobile,Free,Rajshahi,1.0
Beauty,PayPal,Mobile,Free,Rangpur,0.0
Beauty,PayPal,Mobile,Free,Sylhet,0.25
Beauty,PayPal,Mobile,Premium,Barisal,0.2
Beauty,PayPal,Mobile,Premium,Chittagong,0.6666666666666666
Beauty,PayPal,Mobile,Premium,Dhaka,0.0
Beauty,PayPal,Mobile,Premium,Khulna,1.0
Beauty,PayPal,Mobile,Premium,Mymensingh,0.8
Beauty,PayPal,Mobile,Premium,Rajshahi,0.25
Beauty,PayPal,Mobile,Premium,Rangpur,0.0
Beauty,PayPal,Mobile,Premium,Sylhet,0.0
Beauty,PayPal,Mobile,Trial,Barisal,0.75
Beauty,PayPal,Mobile,Trial,Chittagong,0.6
Beauty,PayPal,Mobile,Trial,Mymensingh,0.0
Beauty,PayPal,Mobile,Trial,Rajshahi,1.0
Beauty,PayPal,Mobile,Trial,Sylhet,0.8
Beauty,PayPal,Tablet,Free,Barisal,0.0
Beauty,PayPal,Tablet,Free,Chittagong,0.42857142857142855
Beauty,PayPal,Tablet,Free,Dhaka,0.0
Beauty,PayPal,Tablet,Free,Khulna,0.3333333333333333
Beauty,PayPal,Tablet,Free,Mymensingh,0.2
Beauty,PayPal,Tablet,Free,Rajshahi,0.0
Beauty,PayPal,Tablet,Free,Rangpur,0.0
Beauty,PayPal,Tablet,Free,Sylhet,0.6666666666666666
Beauty,PayPal,Tablet,Premium,Barisal,0.5
Beauty,PayPal,Tablet,Premium,Chittagong,0.0
Beauty,PayPal,Tablet,Premium,Dhaka,0.5
Beauty,PayPal,Tablet,Premium,Mymensingh,1.0
Beauty,PayPal,Tablet,Premium,Rajshahi,0.0
Beauty,PayPal,Tablet,Premium,Rangpur,0.6666666666666666
Beauty,PayPal,Tablet,Premium,Sylhet,0.5
Beauty,PayPal,Tablet,Trial,Barisal,0.5
Beauty,PayPal,Tablet,Trial,Chittagong,0.3333333333333333
Beauty,PayPal,Tablet,Trial,Khulna,0.0
Beauty,PayPal,Tablet,Trial,Mymensingh,1.0
Beauty,PayPal,Tablet,Trial,Rajshahi,1.0
Beauty,PayPal,Tablet,Trial,Rangpur,0.0
Books,Bank Transfer,Desktop,Free,Barisal,0.5
Books,Bank Transfer,Desktop,Free,Chittagong,0.4
Books,Bank Transfer,Desktop,Free,Dhaka,0.6666666666666666
Books,Bank Transfer,Desktop,Free,Khulna,0.5
Books,Bank Transfer,Desktop,Free,Mymensingh,0.0
Books,Bank Transfer,Desktop,Free,Rajshahi,0.4
Books,Bank Transfer,Desktop,Free,Rangpur,1.0
Books,Bank Transfer,Desktop,Free,Sylhet,0.5
Books,Bank Transfer,Desktop,Premium,Barisal,0.0
Books,Bank Transfer,Desktop,Premium,Chittagong,1.0
Books,Bank Transfer,Desktop,Premium,Dhaka,0.6
Books,Bank Transfer,Desktop,Premium,Khulna,0.0
Books,Bank Transfer,Desktop,Premium,Mymensingh,0.6
Books,Bank Transfer,Desktop,Premium,Rajshahi,0.5
Books,Bank Transfer,Desktop,Premium,Rangpur,0.6666666666666666
Books,Bank Transfer,Desktop,Premium,Sylhet,0.4
Books,Bank Transfer,Desktop,Trial,Barisal,0.42857142857142855
Books,Bank Transfer,Desktop,Trial,Chittagong,0.25
Books,Bank Transfer,Desktop,Trial,Dhaka,0.25
Books,Bank Transfer,Desktop,Trial,Mymensingh,0.5
Books,Bank Transfer,Desktop,Trial,Rajshahi,0.5
Books,Bank Transfer,Desktop,Trial,Rangpur,0.0
Books,Bank Transfer,Desktop,Trial,Sylhet,0.0
Books,Bank Transfer,Mobile,Free,Barisal,0.4
Books,Bank Transfer,Mobile,Free,Chittagong,0.6
Books,Bank Transfer,Mobile,Free,Dhaka,0.0
Books,Bank Transfer,Mobile,Free,Khulna,1.0
Books,Bank Transfer,Mobile,Free,Mymensingh,0.6
Books,Bank Transfer,Mobile,Free,Rajshahi,1.0
Books,Bank Transfer,Mobile,Free,Rangpur,0.4
Books,Bank Transfer,Mobile,Free,Sylhet,0.6
Books,Bank Transfer,Mobile,Premium,Barisal,0.6666666666666666
Books,Bank Transfer,Mobile,Premium,Chittagong,0.3333333333333333
Books,Bank Transfer,Mobile,Premium,Dhaka,0.0
Books,Bank Transfer,Mobile,Premium,Khulna,0.75
Books,Bank Transfer,Mobile,Premium,Mymensingh,0.5
Books,Bank Transfer,Mobile,Premium,Rajshahi,0.6666666666666666
Books,Bank Transfer,Mobile,Premium,Rangpur,0.5
Books,Bank Transfer,Mobile,Premium,Sylhet,0.25
Books,Bank Transfer,Mobile,Trial,Barisal,0.6
Books,Bank Transfer,Mobile,Trial,Chittagong,0.5714285714285714
Books,Bank Transfer,Mobile,Trial,Dhaka,0.4
Books,Bank Transfer,Mobile,Trial,Khulna,0.5
Books,Bank Transfer,Mobile,Trial,Rajshahi,1.0
Books,Bank Transfer,Mobile,Trial,Rangpur,0.75
Books,Bank Transfer,Mobile,Trial,Sylhet,0.5
Books,Bank Transfer,Tablet,Free,Chittagong,0.2
Books,Bank Transfer,Tablet,Free,Dhaka,0.5
Books,Bank Transfer,Tablet,Free,Khulna,0.75
Books,Bank Transfer,Tablet,Free,Mymensingh,1.0
Books,Bank Transfer,Tablet,Free,Rajshahi,0.8
Books,Bank Transfer,Tablet,Free,Rangpur,0.2
Books,Bank Transfer,Tablet,Free,Sylhet,0.0
Books,Bank Transfer,Tablet,Premium,Barisal,0.0
Books,Bank Transfer,Tablet,Premium,Chittagong,0.5
Books,Bank Transfer,Tablet,Premium,Dhaka,0.8571428571428571
Books,Bank Transfer,Tablet,Premium,Khulna,0.25
Books,Bank Transfer,Tablet,Premium,Mymensingh,0.2
Books,Bank Transfer,Tablet,Premium,Rajshahi,0.42857142857142855
Books,Bank Transfer,Tablet,Premium,Rangpur,0.6666666666666666
Books,Bank Transfer,Tablet,Premium,Sylhet,1.0
Books,Bank Transfer,Tablet,Trial,Barisal,0.6666666666666666
Books,Bank Transfer,Tablet,Trial,Chittagong,0.75
Books,Bank Transfer,Tablet,Trial,Dhaka,0.2
Books,Bank Transfer,Tablet,Trial,Khulna,0.6
Books,Bank Transfer,Tablet,Trial,Mymensingh,0.0
Books,Bank Transfer,Tablet,Trial,Rajshahi,0.2
Books,Bank Transfer,Tablet,Trial,Rangpur,0.0
Books,Bank Transfer,Tablet,Trial,Sylhet,0.4
Books,Cash on Delivery,Desktop,Free,Barisal,1.0
Books,Cash on Delivery,Desktop,Free,Chittagong,0.5
Books,Cash on Delivery,Desktop,Free,Dhaka,0.0
Books,Cash on Delivery,Desktop,Free,Khulna,0.6666666666666666
Books,Cash on Delivery,Desktop,Free,Mymensingh,0.2857142857142857
Books,Cash on Delivery,Desktop,Free,Rajshahi,0.4
Books,Cash on Delivery,Desktop,Free,Rangpur,0.4
Books,Cash on Delivery,Desktop,Free,Sylhet,0.5
Books,Cash on Delivery,Desktop,Premium,Barisal,0.3333333333333333
Books,Cash on Delivery,Desktop,Premium,Chittagong,0.5
Books,Cash on Delivery,Desktop,Premium,Dhaka,0.3333333333333333
Books,Cash on Delivery,Desktop,Premium,Khulna,0.0
Books,Cash on Delivery,Desktop,Premium,Mymensingh,0.42857142857142855
Books,Cash on Delivery,Desktop,Premium,Rajshahi,0.5
Books,Cash on Delivery,Desktop,Premium,Rangpur,0.5
Books,Cash on Delivery,Desktop,Premium,Sylhet,1.0
Books,Cash on Delivery,Desktop,Trial,Barisal,0.5
Books,Cash on Delivery,Desktop,Trial,Chittagong,0.0
Books,Cash on Delivery,Desktop,Trial,Dhaka,0.3333333333333333
Books,Cash on Delivery,Desktop,Trial,Khulna,0.0
Books,Cash on Delivery,Desktop,Trial,Mymensingh,0.25
Books,Cash on Delivery,Desktop,Trial,Rajshahi,1.0
Books,Cash on Delivery,Desktop,Trial,Rangpur,1.0
Books,Cash on Delivery,Desktop,Trial,Sylhet,0.0
Books,Cash on Delivery,Mobile,Free,Barisal,1.0
Books,Cash on Delivery,Mobile,Free,Chittagong,0.75
Books,Cash on Delivery,Mobile,Free,Dhaka,0.75
